Observation id	stamp.fairtex_kai.ting.chuang							
								
Media file(s)								
								
Player #1	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4							
								
Observation date	2019-06-03 23:49:18							
								
Description	06102018_kingdom.of.heros_super.series.kickboxing.atomweight.world.championship_title_atsushi.onari							
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1107.792	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1144.542	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
1150.791	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1157.555	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
1161.055	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1184.554	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
1189.803	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1201.053	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
1205.053	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1211.304	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		r5			POINT
