Observation id	petchmorakot_petchindee_accademy.giorgio_petrosyan									
										
Media file(s)										
										
Player #1	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov									
										
Observation date	2019-05-17 14:55:38									
										
Description	quarter of final of Kickboxing World Grand Prix. Singapore. 									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
463.189	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
469.451	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		r2					POINT
533.938	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		r3					POINT
535.185	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
536.446	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
537.448	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
538.710	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
538.972	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
541.195	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
542.943	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
548.697	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
549.196	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
549.445	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	None		POINT
551.436	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
551.470	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	back	None		POINT
552.628	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
552.687	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
555.688	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		upper_high	punches	None	None		POINT
557.689	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	None		POINT
559.688	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
560.937	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	None		POINT
563.188	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
563.937	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
565.186	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
569.964	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
571.938	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
572.188	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
573.437	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
581.941	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
588.447	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
590.193	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	None		POINT
597.193	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
601.971	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	back	None		POINT
602.445	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
603.387	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	None	None		POINT
605.720	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
606.971	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
608.942	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
620.973	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
621.941	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	None		POINT
628.446	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
639.696	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
641.695	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
642.720	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	landed		POINT
648.699	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
